tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
Tres metros sobre el cielo,#183,"Drama, Romance",2010,2.758.666$,120 minutos,España,Tres metros sobre el cielo
Easy Rider,#195,,1969,,92 minutos,EE.UU.,Easy Rider
Life of Brian,#179,HandMade Films,1979,,93 minutos,Reino Unido,Life of Brian
El club de los incomprendidos,#174,DeAPlaneta,2014,,109 minutos,España,El club de los incomprendidos
The Green Mile,#170,"Fantasía, Drama, Crimen",1999,60.000.000$,189 minutos,EE.UU.,The Green Mile
,#171,"Comedia, Romance",2015,,,Ocho apellidos catalanes,
Hotaru no Haka,#177,Studio Ghibli,1988,,89 minutos,Japón,Hotaru no Haka
Miller's Crossing,#172,"Crimen, Drama, Thriller",1990,14.000.000$,115 minutos,EE.UU.,Miller's Crossing
Law Abiding Citizen,#175,Warner Bros. Pictures,2009,,108 minutos,EE.UU.,Law Abiding Citizen
Unfriended,#169,Universal Pictures,2015,,82 minutos,EE.UU.,Unfriended
,#167,,1968,,,Planet of the Apes,
Coach Carter,#176,"Drama, Deporte",2005,30.000.000$,136 minutos,EE.UU.,Coach Carter
,#173,"Acción, Aventura, Crimen",2015,,,Spectre,
Requiem for a Dream,#166,Drama,2000,4.500.000$,102 minutos,EE.UU.,Requiem for a Dream
My Left Foot,#162,"Drama, Biografía",1989,600.000,103 minutos,Irlanda,My Left Foot
,#165,,2007,,,Spider-Man 3,
Full Metal Jacket,#163,"Guerra, Drama",1987,17.000.000$,116 minutos,EE.UU.,Full Metal Jacket
Mystic River,#159,"Crimen, Drama, Misterio",2003,30.000.000$,138 minutos,EE.UU.,Mystic River
The Elephant Man,#168,"Drama, Biografía",1980,5.000.000$,125 minutos,EE.UU.,The Elephant Man
There will be Blood,#161,Drama,2007,25.000.000$,158 minutos,EE.UU.,There will be Blood
,#160,,2006,,,Casino Royale,
Unforgiven,#158,"Western, Drama",1992,144.000$,127 minutos,EE.UU.,Unforgiven
American Gangster,#157,"Drama, Biografía, Crimen",2007,100.000.000$,157 minutos,EE.UU.,American Gangster
,#153,,2004,,,Harry Potter and the Prisoner of Azkaban,
Now You See Me,#154,"Kurtzman/Orci, eOne Films",2013,,115 minutos,EE.UU.,Now You See Me
Per qualche dollaro in più,#155,Western,1965,750.000$,130 minutos,Italia,Per qualche dollaro in più
A Walk to Remember,#152,"Drama, Romance",2002,11.000.000$,101 minutos,EE.UU.,A Walk to Remember
V for Vendetta,#151,"Ciencia ficción, Thriller, Acción",2005,54.000.000$,132 minutos,Alemania,V for Vendetta
,#164,,2003,,,Pirates of the Caribbean: The Curse of the Black Pearl,
Butch Cassidy and the Sundance Kid,#156,"Western, Crimen",1969,6.000$,112 minutos,EE.UU.,Butch Cassidy and the Sundance Kid
,#150,,2012,,,The Hunger Games,
Gran Torino,#148,"Drama, Acción, Crimen",2008,33.000$,116 minutos,EE.UU.,Gran Torino
I am legend,#147,"Drama, Ciencia ficción, Thriller",2007,150.000.000$,101 minutos,EE.UU.,I am legend
Sunset Blvd.,#144,Paramount Pictures,1950,,110 minutos,EE.UU.,Sunset Blvd.
Mamma Mia!,#143,Universal Pictures,2008,,108 minutos,EE.UU.,Mamma Mia!
Artificial Intelligence,#145,"Aventura, Ciencia ficción, Drama",2001,90.000.000$,146 minutos,EE.UU.,Artificial Intelligence
Intouchables,#146,"Comedia, Drama",2011,10.000.000€,112 minutos,Francia,Intouchables
Witness for the Prosecution,#141,United Artists,1957,,112 minutos,EE.UU.,Witness for the Prosecution
,#149,,2010,,,Alice in Wonderland,
Monster,#139,"Biografía, Drama, Crimen",2003,8.000.000$,109 minutos,EE.UU.,Monster
One Flew Over the Cuckoo's Nest,#138,Drama,1975,4.400.000$,133 minutos,EE.UU.,One Flew Over the Cuckoo's Nest
Sweeney Todd,#136,"Música, Drama, Terror",2007,50.000.000$,116 minutos,EE.UU.,Sweeney Todd
The Deer Hunter,#142,Universal Pictures,1978,,183 minutos,EE.UU.,The Deer Hunter
A Few Good Men,#135,"Drama, Crimen, Misterio",1992,40.000.000$,138 minutos,EE.UU.,A Few Good Men
Ben-Hur,#140,"Acción, Aventura, Drama",1959,15.900.000$,212 minutos,EE.UU.,Ben-Hur
The Others,#134,,2001,,113 minutos,EE.UU.,The Others
As Good as It Gets,#132,"Comedia, Drama, Romance",1997,50.000.000$,139 minutos,EE.UU.,As Good as It Gets
No Country for Old Men,#129,"Drama, Crimen, Thriller",2007,25.000.000$,122 minutos,EE.UU.,No Country for Old Men
,#128,,1989,,,Back to the Future. Part II,
Nueve reinas,#127,,2001,,115 minutos,Argentina,Nueve reinas
,#130,"Ciencia ficción, Aventura, Acción",2016,,,X-Men: Apocalypse,
The Usual Suspects,#126,"Crimen, Thriller, Misterio",1995,6.000.000$,106 minutos,EE.UU.,The Usual Suspects
Paths of Glory,#131,"Guerra, Drama",1957,935.000€,87 minutos,EE.UU.,Paths of Glory
,#125,,2007,,,Harry Potter and the Order of the Phoenix,
